"Name","Extension","Length","LengthKB","LengthMB","LastWriteTime","FullName","RelPath","TopFolder"
"__init__.py",".py","6755","6,6","0,01","02/10/2025 09:41:24","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\_distutils_hack\__init__.py",".venv_old\Lib\site-packages\_distutils_hack\__init__.py",".venv_old"
"override.py",".py","44","0,04","0","02/10/2025 09:41:24","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\_distutils_hack\override.py",".venv_old\Lib\site-packages\_distutils_hack\override.py",".venv_old"
"__init__.py",".py","353","0,34","0","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\__init__.py",".venv_old\Lib\site-packages\pip\__init__.py",".venv_old"
"__main__.py",".py","854","0,83","0","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\__main__.py",".venv_old\Lib\site-packages\pip\__main__.py",".venv_old"
"__pip-runner__.py",".py","1450","1,42","0","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\__pip-runner__.py",".venv_old\Lib\site-packages\pip\__pip-runner__.py",".venv_old"
"__init__.py",".py","511","0,5","0","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\_internal\__init__.py",".venv_old\Lib\site-packages\pip\_internal\__init__.py",".venv_old"
"build_env.py",".py","11566","11,29","0,01","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\_internal\build_env.py",".venv_old\Lib\site-packages\pip\_internal\build_env.py",".venv_old"
"cache.py",".py","10364","10,12","0,01","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\_internal\cache.py",".venv_old\Lib\site-packages\pip\_internal\cache.py",".venv_old"
"__init__.py",".py","131","0,13","0","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\_internal\cli\__init__.py",".venv_old\Lib\site-packages\pip\_internal\cli\__init__.py",".venv_old"
"autocompletion.py",".py","7193","7,02","0,01","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\_internal\cli\autocompletion.py",".venv_old\Lib\site-packages\pip\_internal\cli\autocompletion.py",".venv_old"
"base_command.py",".py","8716","8,51","0,01","02/10/2025 09:41:19","C:\Users\ojahi\Mon Drive\Signatures_Telotopiques_POC\.venv_old\Lib\site-packages\pip\_internal\cli\base_command.py",".venv_old\Lib\site-packages\pip\_internal\cli\base_command.py",".venv_old"
