"Extension","Count","TotalMB"
".py","828","7,77"
".exe","20","1,71"
"","127","0,4"
".pem","1","0,28"
".txt","40","0,07"
".apache","4","0,04"
".ps1","8","0,04"
".parquet","5","0,04"
".docx","2","0,04"
".pyi","4","0,03"
".json","6","0,02"
".csv","14","0,02"
".bsd","4","0,01"
".yml","6","0,01"
".md","8","0,01"
".bat","2","0"
".fish","1","0"
".gitkeep","6","0"
".gitattributes","1","0"
".in","1","0"
".gitignore","2","0"
".cfg","2","0"
".egg","1","0"
".zip","1","0"
".typed","24","0"
".tmpl","2","0"
".html","2","0"
".pth","1","0"
".xml","1","0"
